Year,Player
2017,James Harden
2016,Russell Westbrook
2015,Stephen Curry
2014,Stephen Curry
2013,Kevin Durant
2012,LeBron James
2011,LeBron James
2010,Derrick Rose
2009,LeBron James
2008,LeBron James
2007,Kobe Bryant
2006,Dirk Nowitzki
2005,Steve Nash
2004,Steve Nash
2003,Kevin Garnett
2002,Tim Duncan
2001,Tim Duncan
2000,Allen Iverson*
1999,Shaquille O'Neal*
1998,Karl Malone*
1997,Michael Jordan*
1996,Karl Malone*
1995,Michael Jordan*
1994,David Robinson*
1993,Hakeem Olajuwon*
1992,Charles Barkley*
1991,Michael Jordan*
1990,Michael Jordan*
1989,Magic Johnson*
1988,Magic Johnson*
1987,Michael Jordan*
1986,Magic Johnson*
1985,Larry Bird*
1984,Larry Bird*
1983,Larry Bird*
1982,Moses Malone*
1981,Moses Malone*
1980,Julius Erving*
1979,Kareem Abdul-Jabbar*
1978,Moses Malone*
1977,Bill Walton*
1976,Kareem Abdul-Jabbar*
1975,Kareem Abdul-Jabbar*
1974,Bob McAdoo*
1973,Kareem Abdul-Jabbar*
1972,Dave Cowens*
1971,Kareem Abdul-Jabbar*
1970,Kareem Abdul-Jabbar*
1969,Willis Reed*
1968,Wes Unseld*
1967,Wilt Chamberlain*
1966,Wilt Chamberlain*
1965,Wilt Chamberlain*
1964,Bill Russell*
1963,Oscar Robertson*
1962,Bill Russell*
1961,Bill Russell*
1960,Bill Russell*
1959,Wilt Chamberlain*
1958,Bob Pettit*
1957,Bill Russell*
1956,Bob Cousy*
1955,Bob Pettit*
